date,PV,GHI,CGHI,COSZ
2021-02-09 07:00:00,0.0018030050083472455,11.22183333333333,12.045333333333332,0.0
2021-02-09 08:00:00,0.06791318864774624,133.1264166666667,133.1264166666667,0.181
2021-02-09 09:00:00,0.21215358931552586,313.7535833333333,313.7535833333333,0.349
2021-02-09 10:00:00,0.3155258764607679,472.14141666666666,472.14141666666666,0.483
2021-02-09 11:00:00,0.3798330550918197,578.05425,578.05425,0.573
2021-02-09 12:00:00,0.3990651085141903,628.9731666666668,628.9731666666668,0.613
2021-02-09 13:00:00,0.3906510851419031,614.1863333333334,614.1863333333334,0.601
2021-02-09 14:00:00,0.3473789649415693,534.8500833333334,534.8500833333334,0.5379999999999999
2021-02-09 15:00:00,0.2674457429048414,400.0070833333334,400.0070833333334,0.428
2021-02-09 16:00:00,0.14664440734557596,228.10108333333335,228.10108333333335,0.2769999999999999
2021-02-09 17:00:00,0.02404006677796327,61.61966666666667,61.61966666666667,0.0969999999999999
2021-02-10 07:00:00,0.002404006677796327,7.636833333333333,12.57825,0.0
2021-02-10 08:00:00,0.021636060100166943,55.69166666666666,133.73350000000002,0.185
2021-02-10 09:00:00,0.05649415692821368,141.03100000000003,312.71700000000004,0.353
2021-02-10 10:00:00,0.23198664440734557,383.11041666666665,467.4720833333334,0.487
2021-02-10 11:00:00,0.31372287145242067,464.6575,565.9616666666667,0.5770000000000001
2021-02-10 12:00:00,0.1706844741235392,290.1875833333333,615.89775,0.617
2021-02-10 13:00:00,0.13642737896494156,301.9035833333333,601.4571666666667,0.605
2021-02-10 14:00:00,0.168881469115192,166.27258333333333,523.3990833333334,0.542
2021-02-10 15:00:00,0.07813021702838063,171.13783333333333,391.30250000000007,0.432
2021-02-10 16:00:00,0.040267111853088476,135.21333333333334,223.20558333333332,0.281
2021-02-10 17:00:00,0.013823038397328881,40.93925,61.303666666666665,0.1009999999999999
2021-02-11 07:00:00,0.002404006677796327,5.566833333333332,12.787333333333336,0.0
2021-02-11 08:00:00,0.055292153589315524,96.67900000000002,131.444,0.188
2021-02-11 09:00:00,0.1520534223706177,244.60483333333332,305.84225,0.357
2021-02-11 10:00:00,0.2440066777963272,301.18875,448.1014166666666,0.491
2021-02-11 11:00:00,0.30771285475792987,197.99491666666668,403.8908333333333,0.581
2021-02-11 12:00:00,0.3179298831385643,209.46641666666665,444.09725,0.621
2021-02-11 13:00:00,0.31131886477462434,207.47141666666667,432.51,0.61
2021-02-11 14:00:00,0.2542237061769616,177.11891666666668,369.61925,0.546
2021-02-11 15:00:00,0.18510851419031718,117.01925,247.84191666666663,0.436
2021-02-11 17:00:00,0.018030050083472453,8.830833333333333,23.231333333333332,0.104
2021-02-12 07:00:00,0.0018030050083472455,0.7932499999999999,5.3581666666666665,0.0
2021-02-12 08:00:00,0.058898163606010016,32.74375,71.79608333333333,0.192
2021-02-12 09:00:00,0.18931552587646075,81.83616666666667,198.36175,0.361
2021-02-12 10:00:00,0.2638397328881469,347.80608333333333,360.9975,0.495
2021-02-12 11:00:00,0.32514190317195324,583.6251666666666,583.6251666666666,0.585
2021-02-12 12:00:00,0.3503839732888147,633.8972499999999,633.8972499999999,0.626
2021-02-12 13:00:00,0.3521869782971619,609.48475,619.3529166666666,0.614
