country,Life Expectancy (2022),Population (2022),GDP per Capita (2022),Continent
North Korea,73.5,26300000,1620.0,Asia
Portugal,82.3,10400000,35700.0,Europe
Paraguay,73.3,6760000,13500.0,America
Palestine,73.0,5310000,5720.0,Asia
Qatar,76.8,2890000,97100.0,Asia
Romania,73.2,19200000,32700.000000000004,Europe
Russia,69.2,146000000,27600.0,Europe
Rwanda,69.4,13700000,2360.0,Africa
Saudi Arabia,75.1,32200000,50000.0,Asia
Sudan,70.2,49400000,3570.0,Africa
Senegal,67.9,17700000,3560.0,Africa
Singapore,85.2,5650000,108000.0,Asia
Solomon Islands,59.5,781000,2250.0,Oceania
Sierra Leone,61.9,8279999,1640.0,Africa
El Salvador,74.6,6280000,9400.0,America
San Marino,82.6,34100,64500.0,Europe
Somalia,57.5,17800000,1160.0,Africa
Serbia,73.1,6790000,20500.0,Europe
South Sudan,63.4,11000000,386.0,Africa
Sao Tome and Principe,71.2,226000,4010.0,Africa
Suriname,70.7,623000,14900.0,America
Slovak Republic,75.2,5470000,33200.0,Europe
Slovenia,81.9,2120000,42200.0,Europe
Sweden,83.3,10500000,54800.0,Europe
Eswatini,54.2,1220000,9130.0,Africa
Seychelles,71.2,126000,29800.0,Africa
Syria,74.4,22500000,3350.0,Asia
Chad,60.1,18500000,1410.0,Africa
Togo,65.8,9090000,2210.0,Africa
Thailand,79.1,71700000,17500.0,Asia
Tajikistan,70.0,10200000,4140.0,Asia
Turkmenistan,71.2,7230000,14700.0,Asia
Timor-Leste,71.4,1370000,4090.0,Asia
Tonga,73.4,105000,6040.0,Oceania
Trinidad and Tobago,75.4,1500000,23500.0,America
Tunisia,75.9,12100000,10600.0,Africa
Turkey,79.0,87100000,33000.0,Europe
Tuvalu,68.5,9990,4590.0,Oceania
Taiwan,80.9,23400000,58700.0,Asia
Tanzania,67.0,64700000,2620.0,Africa
Uganda,66.9,47300000,2280.0,Africa
Ukraine,67.9,41000000,10700.0,Europe
Uruguay,78.0,3390000,24400.0,America
USA,78.0,342000000,64700.0,America
Uzbekistan,68.8,34900000,8070.0,Asia
St. Vincent and the Grenadines,69.1,102000,14600.0,America
Venezuela,74.0,28200000,6180.0,America
Vietnam,75.0,99700000,11400.0,Asia
Vanuatu,66.0,313000,2790.0,Oceania
Samoa,70.9,215000,5120.0,Oceania
Yemen,66.3,38200000,1720.0,Asia
South Africa,60.5,62400000,13500.0,Africa
Zambia,62.2,20200000,3300.0,Africa
Zimbabwe,59.1,16100000,2140.0,Africa
