X,Y
0,3.345171913
0,3.314533581
0,3.288229227
0,3.267137202
0,3.247131562
0,3.226594287
0,3.205872096
0,3.193979661
0,3.185323263
0,3.178111525
0,3.171812811
0,3.166045731
0,3.160821843
0,3.15612959
0,3.15180717
0,3.147658109
0,3.143693964
0,3.139186628
0,3.135592315
0,3.131986446
0,3.128912211
0,3.125849534
0,3.122971773
0,3.120094012
0,3.117204693
0,3.114685208
0,3.112339081
0,3.109992955
0,3.107473469
0,3.105312259
0,3.103324408
0,3.101521473
0,3.099730096
0,3.097927161
0,3.096297586
0,3.094864484
0,3.093419824
0,3.091975165
0,3.090715422
0,3.08945568
0,3.088369296
0,3.087109553
0,3.08584981
0,3.084590067
0,3.083503684
0,3.082602216
0,3.081700749
0,3.081157557
0,3.080441006
0,3.079897814
0,3.07936618
0,3.078638072
0,3.077921521
0,3.077378329
0,3.076835137
0,3.076118586
0,3.075575394
0,3.075032202
0,3.074315651
0,3.07377246
0,3.073055909
0.033747239,2.886717988
0.101253273,2.582345633
0.168759308,2.475475525
0.236253785,2.352390562
0.303759819,2.289680796
0.371254297,2.21489368
0.438760331,2.17326438
0.506266366,2.120817473
0.573760843,2.091808717
0.641266877,2.056304773
0.708772912,2.036842324
0.776267389,2.011797712
0.843773424,1.997374235
0.911279458,1.983863782
0.978773935,1.965661077
1.046268412,1.954485193
1.113774447,1.939171806
1.181280481,1.92961394
1.248774959,1.916288404
1.316280993,1.907990282
1.383787028,1.896282764
1.451281505,1.888886109
1.518787539,1.878438333
1.586282017,1.871769787
1.653776494,1.862223479
1.721282528,1.856098124
1.788788563,1.850146128
1.856294597,1.841501287
1.923789075,1.833203165
2.025042348,1.825101516
2.092548382,1.817346586
2.193801655,1.809961488
2.26130769,1.802749749
2.362549406,1.795722927
2.430043883,1.78905438
2.497549917,1.782744109
2.598803191,1.776445395
2.666297668,1.770493399
2.767550941,1.764368044
2.868792657,1.75679803
2.97004593,1.749228016
3.071299203,1.743102661
3.172552476,1.735890922
3.273794192,1.729222375
3.375047465,1.722553828
3.51003642,1.716255114
3.611278135,1.709759927
3.746278647,1.702733104
3.881267602,1.696249474
4.016268113,1.689396011
4.185015864,1.683097297
4.38752241,1.676787025
4.590028956,1.67066167
4.860041537,1.664351399
5.197560152,1.658226044
5.568802891,1.652089132
6.041298904,1.645963777
6.615071304,1.639838422
7.222579385,1.633897983
7.965076421,1.627945988
8.842573969,1.621820633
9.686324278,1.615868637
10.56382183,1.609928198
11.40753746,1.603976202
12.1500345,1.598035764
12.75753102,1.592083768
13.33128031,1.585958413
13.83753512,1.579833058
14.24251354,1.573881062
14.57999748,1.567755707
14.84998695,1.561803711
15.11998797,1.555678356
15.39000055,1.549553002
15.5925071,1.543427647
15.82876088,1.536944016
15.99752019,1.53099202
16.20002674,1.524323473
16.40253328,1.517481568
16.53752224,1.51098638
16.70626999,1.503959558
16.8412705,1.497660844
16.97627101,1.490992297
17.11127152,1.485040301
17.2125248,1.47873003
17.31377807,1.472061483
17.41501978,1.464861301
17.55000874,1.457291287
17.61751477,1.451165932
17.71875649,1.444855661
17.78626252,1.43837203
17.85376856,1.431703484
17.95502183,1.424665104
