X,Y1,Y2,Z
0.5,0.25,0.785398163,4.43231
0.5,0.262626263,0.80523145,4.63586
0.5,0.275252525,0.825064737,4.83099
0.5,0.287878788,0.844898024,5.01786
0.5,0.300505051,0.864731311,5.19662
0.5,0.313131313,0.884564598,5.36742
0.5,0.325757576,0.904397885,5.53042
0.5,0.338383838,0.924231172,5.68578
0.5,0.351010101,0.944064459,5.83366
0.5,0.363636364,0.963897746,5.97421
0.5,0.376262626,0.983731033,6.1075800000000005
0.5,0.388888889,1.00356432,6.2339400000000005
0.5,0.401515152,1.023397607,6.35343
0.5,0.414141414,1.043230894,6.46622
0.5,0.426767677,1.063064181,6.57246
0.5,0.439393939,1.082897468,6.6723
0.5,0.452020202,1.102730755,6.76591
0.5,0.464646465,1.122564042,6.85344
0.5,0.477272727,1.142397329,6.93505
0.5,0.48989899,1.162230616,7.01088
0.5,0.502525253,1.182063902,7.0811
0.5,0.515151515,1.201897189,7.14587
0.5,0.527777778,1.221730476,7.2053400000000005
0.5,0.54040404,1.241563763,7.25966
0.5,0.553030303,1.26139705,7.3089900000000005
0.5,0.565656566,1.281230337,7.35349
0.5,0.578282828,1.301063624,7.39332
0.5,0.590909091,1.320896911,7.4286200000000004
0.5,0.603535354,1.340730198,7.459560000000001
0.5,0.616161616,1.360563485,7.4863
0.5,0.628787879,1.380396772,7.50898
0.5,0.641414141,1.400230059,7.52777
0.5,0.654040404,1.420063346,7.54281
0.5,0.666666667,1.439896633,7.55428
0.5,0.679292929,1.45972992,7.562320000000001
0.5,0.691919192,1.479563207,7.56708
0.5,0.704545455,1.499396494,7.56873
0.5,0.717171717,1.519229781,7.56742
0.5,0.72979798,1.539063068,7.56331
0.5,0.742424242,1.558896355,7.55656
0.5,0.755050505,1.578729642,7.54731
0.5,0.767676768,1.598562929,7.53573
0.5,0.78030303,1.618396215,7.52196
0.5,0.792929293,1.638229502,7.5061800000000005
0.5,0.805555556,1.658062789,7.48853
0.5,0.818181818,1.677896076,7.46917
0.5,0.830808081,1.697729363,7.44826
0.5,0.843434343,1.71756265,7.42595
0.5,0.856060606,1.737395937,7.4023900000000005
0.5,0.868686869,1.757229224,7.37775
0.5,0.881313131,1.777062511,7.35219
0.5,0.893939394,1.796895798,7.32584
0.5,0.906565657,1.816729085,7.2988800000000005
0.5,0.919191919,1.836562372,7.27146
0.5,0.931818182,1.856395659,7.24374
0.5,0.944444444,1.876228946,7.21586
0.5,0.957070707,1.896062233,7.18799
0.5,0.96969697,1.91589552,7.16029
0.5,0.982323232,1.935728807,7.1329
0.5,0.994949495,1.955562094,7.10599
0.5,1.007575758,1.975395381,7.07971
0.5,1.02020202,1.995228668,7.05422
0.5,1.032828283,2.015061955,7.02967
0.5,1.045454545,2.034895242,7.00623
0.5,1.058080808,2.054728528,6.984030000000001
0.5,1.070707071,2.074561815,6.96325
0.5,1.083333333,2.094395102,6.94404
0.5,1.095959596,2.114228389,6.926550000000001
0.5,1.108585859,2.134061676,6.91094
0.5,1.121212121,2.153894963,6.8973700000000004
0.5,1.133838384,2.17372825,6.8859900000000005
0.5,1.146464646,2.193561537,6.87696
0.5,1.159090909,2.213394824,6.87044
0.5,1.171717172,2.233228111,6.86657
0.5,1.184343434,2.253061398,6.86552
0.5,1.196969697,2.272894685,6.86745
0.5,1.20959596,2.292727972,6.8725000000000005
0.5,1.222222222,2.312561259,6.88084
0.5,1.234848485,2.332394546,6.89262
0.5,1.247474747,2.352227833,6.90799
