"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1964.750,-0.01412,0.00613,-0.01269
1964.833,-0.01327,0.00617,-0.01270
1964.917,-0.01380,0.00609,-0.01271
1965.000,-0.01324,0.00600,-0.01272
1965.083,-0.01391,0.00601,-0.01273
1965.167,-0.01436,0.00601,-0.01274
1965.250,-0.01405,0.00592,-0.01275
1965.333,-0.01401,0.00587,-0.01276
1965.417,-0.01445,0.00585,-0.01277
1965.500,-0.01477,0.00582,-0.01278
1965.583,-0.01466,0.00584,-0.01279
1965.667,-0.01427,0.00583,-0.01280
1965.750,-0.01429,0.00571,-0.01281
1965.833,-0.01448,0.00571,-0.01282
1965.917,-0.01453,0.00575,-0.01283
1966.000,-0.01489,0.00578,-0.01284
1966.083,-0.01429,0.00577,-0.01285
1966.167,-0.01374,0.00587,-0.01286
1966.250,-0.01324,0.00583,-0.01287
1966.333,-0.01329,0.00572,-0.01288
1966.417,-0.01346,0.00569,-0.01289
1966.500,-0.01300,0.00570,-0.01290
1966.583,-0.01321,0.00581,-0.01291
1966.667,-0.01322,0.00588,-0.01291
1966.750,-0.01301,0.00597,-0.01292
1966.833,-0.01214,0.00595,-0.01293
1966.917,-0.01218,0.00598,-0.01294
1967.000,-0.01185,0.00589,-0.01295
1967.083,-0.01158,0.00582,-0.01295
1967.167,-0.01152,0.00592,-0.01296
1967.250,-0.01215,0.00598,-0.01297
1967.333,-0.01239,0.00603,-0.01297
1967.417,-0.01209,0.00604,-0.01298
1967.500,-0.01329,0.00593,-0.01298
1967.583,-0.01375,0.00591,-0.01299
1967.667,-0.01480,0.00593,-0.01299
1967.750,-0.01432,0.00586,-0.01300
1967.833,-0.01423,0.00584,-0.01300
1967.917,-0.01459,0.00588,-0.01300
1968.000,-0.01421,0.00571,-0.01300
1968.083,-0.01375,0.00570,-0.01301
1968.167,-0.01383,0.00577,-0.01301
1968.250,-0.01335,0.00572,-0.01301
1968.333,-0.01298,0.00556,-0.01301
1968.417,-0.01344,0.00552,-0.01301
1968.500,-0.01283,0.00555,-0.01301
1968.583,-0.01318,0.00552,-0.01301
1968.667,-0.01276,0.00553,-0.01300
1968.750,-0.01273,0.00547,-0.01300
1968.833,-0.01269,0.00545,-0.01300
1968.917,-0.01286,0.00547,-0.01300
1969.000,-0.01274,0.00535,-0.01299
1969.083,-0.01305,0.00533,-0.01299
1969.167,-0.01293,0.00534,-0.01298
1969.250,-0.01315,0.00534,-0.01297
1969.333,-0.01233,0.00538,-0.01297
1969.417,-0.01183,0.00535,-0.01296
1969.500,-0.01192,0.00532,-0.01295
1969.583,-0.01134,0.00533,-0.01294
1969.667,-0.01182,0.00539,-0.01293
1969.750,-0.01212,0.00531,-0.01292
1969.833,-0.01179,0.00541,-0.01291
1969.917,-0.01168,0.00545,-0.01290
1970.000,-0.01135,0.00534,-0.01289
1970.083,-0.01159,0.00537,-0.01288
1970.167,-0.01185,0.00542,-0.01287
1970.250,-0.01187,0.00537,-0.01285
1970.333,-0.01180,0.00543,-0.01284
1970.417,-0.01162,0.00540,-0.01283
1970.500,-0.01174,0.00533,-0.01281
1970.583,-0.01183,0.00543,-0.01280
1970.667,-0.01262,0.00547,-0.01278
1970.750,-0.01289,0.00541,-0.01277
1970.833,-0.01327,0.00539,-0.01275
