"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1940.000,-0.02783,0.01880,-0.02363
1940.083,-0.02620,0.01826,-0.02359
1940.167,-0.02710,0.01763,-0.02355
1940.250,-0.02843,0.01739,-0.02351
1940.333,-0.02907,0.01727,-0.02347
1940.417,-0.02961,0.01737,-0.02343
1940.500,-0.02767,0.01689,-0.02339
1940.583,-0.02856,0.01687,-0.02335
1940.667,-0.03102,0.01677,-0.02331
1940.750,-0.03166,0.01658,-0.02327
1940.833,-0.02866,0.01646,-0.02324
1940.917,-0.02909,0.01628,-0.02320
1941.000,-0.02988,0.01648,-0.02316
1941.083,-0.02852,0.01724,-0.02312
1941.167,-0.02788,0.01766,-0.02308
1941.250,-0.02761,0.01807,-0.02305
1941.333,-0.02666,0.01818,-0.02301
1941.417,-0.02896,0.01839,-0.02298
1941.500,-0.02977,0.01898,-0.02294
1941.583,-0.02849,0.01995,-0.02290
1941.667,-0.02876,0.02066,-0.02287
1941.750,-0.02800,0.02119,-0.02283
1941.833,-0.02867,0.02133,-0.02280
1941.917,-0.02965,0.02157,-0.02277
1942.000,-0.02809,0.02111,-0.02273
1942.083,-0.02891,0.02127,-0.02270
1942.167,-0.02548,0.02182,-0.02267
1942.250,-0.02358,0.02198,-0.02263
1942.333,-0.02232,0.02214,-0.02260
1942.417,-0.02110,0.02148,-0.02257
1942.500,-0.02049,0.02133,-0.02254
1942.583,-0.02026,0.02191,-0.02250
1942.667,-0.02007,0.02244,-0.02247
1942.750,-0.02087,0.02263,-0.02244
1942.833,-0.02150,0.02260,-0.02241
1942.917,-0.02211,0.02235,-0.02238
1943.000,-0.02180,0.02158,-0.02235
1943.083,-0.02037,0.02140,-0.02232
1943.167,-0.01685,0.02169,-0.02229
1943.250,-0.01580,0.02212,-0.02226
1943.333,-0.01867,0.02262,-0.02223
1943.417,-0.01783,0.02272,-0.02220
1943.500,-0.01703,0.02265,-0.02217
1943.583,-0.01685,0.02264,-0.02215
1943.667,-0.01755,0.02299,-0.02212
1943.750,-0.01618,0.02296,-0.02209
1943.833,-0.01695,0.02327,-0.02206
1943.917,-0.01835,0.02325,-0.02203
1944.000,-0.01733,0.02284,-0.02201
1944.083,-0.01702,0.02303,-0.02198
1944.167,-0.01638,0.02302,-0.02195
1944.250,-0.01708,0.02322,-0.02192
1944.333,-0.01813,0.02333,-0.02190
1944.417,-0.01895,0.02332,-0.02187
1944.500,-0.01987,0.02287,-0.02184
1944.583,-0.01810,0.02313,-0.02182
1944.667,-0.01855,0.02323,-0.02179
1944.750,-0.01916,0.02326,-0.02177
1944.833,-0.01942,0.02353,-0.02174
1944.917,-0.01901,0.02348,-0.02171
1945.000,-0.01880,0.02328,-0.02169
1945.083,-0.02018,0.02345,-0.02166
1945.167,-0.02050,0.02353,-0.02164
1945.250,-0.02009,0.02351,-0.02161
1945.333,-0.02019,0.02342,-0.02159
1945.417,-0.02041,0.02316,-0.02156
1945.500,-0.02121,0.02291,-0.02154
1945.583,-0.02291,0.02294,-0.02151
1945.667,-0.02348,0.02289,-0.02149
1945.750,-0.02194,0.02267,-0.02147
1945.833,-0.02198,0.02257,-0.02144
1945.917,-0.02290,0.02223,-0.02142
1946.000,-0.02328,0.02154,-0.02139
1946.083,-0.02281,0.02132,-0.02137
1946.167,-0.02366,0.02085,-0.02135
1946.250,-0.02194,0.02077,-0.02132
