"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1946.417,-0.03334,0.03577,-0.03028
1946.500,-0.03152,0.03555,-0.03030
1946.583,-0.03553,0.03471,-0.03031
1946.667,-0.03125,0.03426,-0.03032
1946.750,-0.02857,0.03392,-0.03034
1946.833,-0.02816,0.03290,-0.03035
1946.917,-0.02200,0.03223,-0.03036
1947.000,-0.01494,0.03203,-0.03038
1947.083,-0.01690,0.03290,-0.03039
1947.167,-0.01250,0.03221,-0.03040
1947.250,-0.00876,0.03115,-0.03042
1947.333,-0.01051,0.03035,-0.03043
1947.417,-0.01591,0.02902,-0.03045
1947.500,-0.01390,0.02883,-0.03046
1947.583,-0.01653,0.02798,-0.03047
1947.667,-0.01593,0.02881,-0.03049
1947.750,-0.02047,0.02819,-0.03050
1947.833,-0.02112,0.02823,-0.03051
1947.917,-0.01830,0.02813,-0.03053
1948.000,-0.02277,0.02836,-0.03054
1948.083,-0.02335,0.02864,-0.03056
1948.167,-0.02419,0.02778,-0.03057
1948.250,-0.03061,0.02770,-0.03058
1948.333,-0.02918,0.02758,-0.03060
1948.417,-0.02419,0.02724,-0.03061
1948.500,-0.01914,0.02724,-0.03063
1948.583,-0.01990,0.02844,-0.03064
1948.667,-0.01882,0.02936,-0.03066
1948.750,-0.01830,0.02915,-0.03067
1948.833,-0.01984,0.02959,-0.03069
1948.917,-0.02312,0.02965,-0.03071
1949.000,-0.02398,0.02836,-0.03073
1949.083,-0.02749,0.02830,-0.03075
1949.167,-0.02670,0.02832,-0.03077
1949.250,-0.02776,0.02820,-0.03079
1949.333,-0.02769,0.02715,-0.03081
1949.417,-0.02890,0.02744,-0.03084
1949.500,-0.03169,0.02692,-0.03087
1949.583,-0.03622,0.02712,-0.03090
1949.667,-0.03465,0.02718,-0.03093
1949.750,-0.03422,0.02644,-0.03097
1949.833,-0.03715,0.02583,-0.03101
1949.917,-0.03802,0.02538,-0.03106
1950.000,-0.04032,0.02562,-0.03111
1950.083,-0.04248,0.02712,-0.03119
1950.167,-0.04390,0.02716,-0.03128
1950.250,-0.03658,0.02652,-0.03137
1950.333,-0.03821,0.02561,-0.03146
1950.417,-0.04270,0.02438,-0.03156
1950.500,-0.04285,0.02357,-0.03165
1950.583,-0.04091,0.02402,-0.03175
1950.667,-0.03937,0.02389,-0.03185
1950.750,-0.03717,0.02415,-0.03195
1950.833,-0.03990,0.02422,-0.03205
1950.917,-0.03659,0.02422,-0.03216
1951.000,-0.03376,0.02442,-0.03227
1951.083,-0.02466,0.02506,-0.03237
1951.167,-0.02890,0.02497,-0.03248
1951.250,-0.02773,0.02533,-0.03259
1951.333,-0.03119,0.02549,-0.03271
1951.417,-0.02689,0.02563,-0.03282
1951.500,-0.02825,0.02523,-0.03293
1951.583,-0.02670,0.02618,-0.03304
1951.667,-0.02776,0.02645,-0.03316
1951.750,-0.02769,0.02656,-0.03327
1951.833,-0.03489,0.02700,-0.03339
1951.917,-0.03916,0.02805,-0.03350
1952.000,-0.03494,0.02856,-0.03362
1952.083,-0.03478,0.02975,-0.03374
1952.167,-0.02942,0.03015,-0.03385
1952.250,-0.03337,0.02911,-0.03397
1952.333,-0.03532,0.02906,-0.03409
1952.417,-0.04116,0.02792,-0.03420
1952.500,-0.03835,0.02749,-0.03432
1952.583,-0.04133,0.02766,-0.03444
1952.667,-0.03795,0.02786,-0.03456
1952.750,-0.04319,0.02819,-0.03467
1952.833,-0.04518,0.02905,-0.03479
1952.917,-0.03873,0.02896,-0.03491
1953.000,-0.03979,0.02938,-0.03503
1953.083,-0.04038,0.03025,-0.03514
1953.167,-0.03845,0.03064,-0.03526
1953.250,-0.03921,0.03008,-0.03538
1953.333,-0.03652,0.03047,-0.03550
1953.417,-0.03485,0.02945,-0.03561
1953.500,-0.03508,0.02851,-0.03573
1953.583,-0.03039,0.02903,-0.03585
1953.667,-0.03182,0.02884,-0.03596
1953.750,-0.03105,0.02860,-0.03608
1953.833,-0.03092,0.02786,-0.03620
1953.917,-0.02919,0.02751,-0.03632
1954.000,-0.03260,0.02720,-0.03643
1954.083,-0.03555,0.02687,-0.03655
1954.167,-0.03266,0.02695,-0.03667
1954.250,-0.03187,0.02598,-0.03678
1954.333,-0.03423,0.02629,-0.03690
1954.417,-0.03643,0.02592,-0.03702
1954.500,-0.03382,0.02454,-0.03713
1954.583,-0.03646,0.02448,-0.03725
1954.667,-0.03414,0.02514,-0.03736
1954.750,-0.03239,0.02492,-0.03748
1954.833,-0.03945,0.02534,-0.03759
1954.917,-0.04078,0.02537,-0.03771
1955.000,-0.03362,0.02473,-0.03782
1955.083,-0.03641,0.02519,-0.03794
1955.167,-0.03623,0.02563,-0.03805
1955.250,-0.03556,0.02562,-0.03816
1955.333,-0.03564,0.02550,-0.03828
1955.417,-0.03924,0.02501,-0.03839
1955.500,-0.03902,0.02400,-0.03850
1955.583,-0.03632,0.02512,-0.03861
1955.667,-0.02742,0.02567,-0.03872
1955.750,-0.02856,0.02450,-0.03883
1955.833,-0.02779,0.02389,-0.03894
1955.917,-0.03236,0.02304,-0.03905
1956.000,-0.03058,0.02202,-0.03916
1956.083,-0.03620,0.02236,-0.03927
1956.167,-0.03694,0.02194,-0.03937
1956.250,-0.03729,0.02120,-0.03948
1956.333,-0.03878,0.02161,-0.03959
1956.417,-0.04440,0.02159,-0.03969
1956.500,-0.04892,0.02105,-0.03980
1956.583,-0.04734,0.02058,-0.03990
1956.667,-0.04724,0.02070,-0.04001
1956.750,-0.04259,0.02063,-0.04011
1956.833,-0.04405,0.02074,-0.04022
1956.917,-0.04414,0.01983,-0.04032
1957.000,-0.04003,0.01974,-0.04043
1957.083,-0.04041,0.02086,-0.04053
1957.167,-0.04253,0.02011,-0.04064
1957.250,-0.04732,0.01955,-0.04074
1957.333,-0.04828,0.01941,-0.04085
1957.417,-0.04710,0.01908,-0.04096
1957.500,-0.04831,0.01773,-0.04106
1957.583,-0.05110,0.01818,-0.04117
1957.667,-0.04908,0.01876,-0.04127
1957.750,-0.04718,0.01964,-0.04138
1957.833,-0.04551,0.02031,-0.04149
1957.917,-0.04432,0.02024,-0.04160
1958.000,-0.04481,0.02006,-0.04171
1958.083,-0.04739,0.02013,-0.04181
1958.167,-0.04803,0.01994,-0.04192
1958.250,-0.05063,0.01908,-0.04203
1958.333,-0.04404,0.01884,-0.04214
1958.417,-0.04673,0.01851,-0.04225
1958.500,-0.03855,0.01796,-0.04236
1958.583,-0.03858,0.01948,-0.04247
1958.667,-0.04272,0.02032,-0.04258
1958.750,-0.04941,0.02079,-0.04270
1958.833,-0.05079,0.02085,-0.04281
1958.917,-0.04870,0.02016,-0.04292
1959.000,-0.04988,0.01999,-0.04303
1959.083,-0.04552,0.02033,-0.04315
1959.167,-0.04175,0.01938,-0.04326
1959.250,-0.03913,0.01903,-0.04337
1959.333,-0.04229,0.01926,-0.04349
1959.417,-0.04305,0.01852,-0.04360
1959.500,-0.04447,0.01795,-0.04372
1959.583,-0.04309,0.01807,-0.04383
1959.667,-0.04028,0.01849,-0.04394
1959.750,-0.04125,0.01856,-0.04406
1959.833,-0.04081,0.01747,-0.04417
1959.917,-0.03964,0.01622,-0.04429
1960.000,-0.03919,0.01562,-0.04440
1960.083,-0.03480,0.01590,-0.04451
1960.167,-0.03935,0.01582,-0.04463
1960.250,-0.04146,0.01623,-0.04474
1960.333,-0.04009,0.01617,-0.04485
1960.417,-0.04167,0.01580,-0.04496
1960.500,-0.04447,0.01548,-0.04507
1960.583,-0.04276,0.01597,-0.04518
1960.667,-0.04111,0.01647,-0.04529
1960.750,-0.03813,0.01669,-0.04540
1960.833,-0.03394,0.01703,-0.04550
1960.917,-0.03750,0.01689,-0.04561
1961.000,-0.03920,0.01663,-0.04572
1961.083,-0.04444,0.01789,-0.04582
1961.167,-0.04641,0.01832,-0.04592
1961.250,-0.04608,0.01889,-0.04602
1961.333,-0.04782,0.01862,-0.04613
1961.417,-0.04846,0.01856,-0.04623
1961.500,-0.04570,0.01780,-0.04632
1961.583,-0.04384,0.01865,-0.04642
1961.667,-0.04967,0.01942,-0.04652
1961.750,-0.05413,0.01939,-0.04662
1961.833,-0.05410,0.01863,-0.04671
1961.917,-0.05178,0.01876,-0.04680
1962.000,-0.04304,0.01812,-0.04690
1962.083,-0.04403,0.01759,-0.04699
1962.167,-0.03801,0.01765,-0.04708
1962.250,-0.03965,0.01717,-0.04717
1962.333,-0.04429,0.01683,-0.04725
1962.417,-0.04348,0.01673,-0.04734
1962.500,-0.04561,0.01657,-0.04743
1962.583,-0.04515,0.01645,-0.04751
1962.667,-0.04604,0.01653,-0.04759
1962.750,-0.04683,0.01676,-0.04767
1962.833,-0.04641,0.01716,-0.04775
1962.917,-0.04778,0.01762,-0.04783
1963.000,-0.04244,0.01696,-0.04791
1963.083,-0.04714,0.01733,-0.04798
1963.167,-0.05119,0.01699,-0.04806
1963.250,-0.05136,0.01719,-0.04813
1963.333,-0.04982,0.01709,-0.04820
1963.417,-0.04713,0.01671,-0.04828
1963.500,-0.04867,0.01585,-0.04835
1963.583,-0.04968,0.01605,-0.04841
1963.667,-0.04661,0.01578,-0.04848
1963.750,-0.04743,0.01478,-0.04855
1963.833,-0.05056,0.01410,-0.04861
1963.917,-0.05001,0.01368,-0.04868
1964.000,-0.04883,0.01384,-0.04874
1964.083,-0.04618,0.01451,-0.04881
1964.167,-0.04693,0.01464,-0.04887
1964.250,-0.04794,0.01458,-0.04893
1964.333,-0.05373,0.01479,-0.04899
1964.417,-0.05111,0.01424,-0.04905
1964.500,-0.05194,0.01420,-0.04911
1964.583,-0.05526,0.01413,-0.04917
1964.667,-0.05391,0.01465,-0.04923
1964.750,-0.05659,0.01417,-0.04929
1964.833,-0.05097,0.01415,-0.04934
1964.917,-0.05535,0.01380,-0.04940
1965.000,-0.05184,0.01397,-0.04945
1965.083,-0.05487,0.01409,-0.04951
1965.167,-0.05653,0.01381,-0.04956
1965.250,-0.05467,0.01351,-0.04962
1965.333,-0.05497,0.01406,-0.04967
1965.417,-0.05976,0.01370,-0.04972
1965.500,-0.06239,0.01303,-0.04978
1965.583,-0.06231,0.01295,-0.04983
1965.667,-0.05962,0.01343,-0.04988
1965.750,-0.06011,0.01289,-0.04993
1965.833,-0.06164,0.01303,-0.04999
1965.917,-0.06182,0.01341,-0.05004
1966.000,-0.06228,0.01307,-0.05009
1966.083,-0.05886,0.01294,-0.05014
1966.167,-0.05595,0.01332,-0.05019
1966.250,-0.05429,0.01363,-0.05024
1966.333,-0.05463,0.01355,-0.05029
1966.417,-0.05370,0.01335,-0.05035
1966.500,-0.05126,0.01288,-0.05040
1966.583,-0.05364,0.01320,-0.05045
1966.667,-0.05305,0.01360,-0.05049
1966.750,-0.05023,0.01341,-0.05054
1966.833,-0.04379,0.01328,-0.05059
1966.917,-0.04578,0.01303,-0.05064
1967.000,-0.04276,0.01298,-0.05069
1967.083,-0.03856,0.01311,-0.05073
1967.167,-0.03858,0.01342,-0.05078
1967.250,-0.04312,0.01298,-0.05082
1967.333,-0.04574,0.01305,-0.05087
1967.417,-0.04508,0.01295,-0.05091
1967.500,-0.05090,0.01232,-0.05095
1967.583,-0.05379,0.01269,-0.05099
1967.667,-0.06104,0.01357,-0.05103
1967.750,-0.05840,0.01325,-0.05107
1967.833,-0.05954,0.01341,-0.05111
1967.917,-0.06132,0.01336,-0.05115
1968.000,-0.05837,0.01303,-0.05118
1968.083,-0.05311,0.01279,-0.05121
1968.167,-0.05289,0.01284,-0.05125
1968.250,-0.04970,0.01273,-0.05128
1968.333,-0.04749,0.01231,-0.05131
1968.417,-0.05116,0.01170,-0.05133
1968.500,-0.04887,0.01114,-0.05136
1968.583,-0.05347,0.01103,-0.05139
1968.667,-0.05329,0.01166,-0.05141
1968.750,-0.05121,0.01147,-0.05143
1968.833,-0.05181,0.01151,-0.05145
1968.917,-0.05470,0.01144,-0.05147
1969.000,-0.05438,0.01143,-0.05149
1969.083,-0.05660,0.01166,-0.05150
1969.167,-0.05520,0.01174,-0.05151
1969.250,-0.05675,0.01140,-0.05152
1969.333,-0.05239,0.01105,-0.05153
1969.417,-0.05019,0.01067,-0.05154
1969.500,-0.05119,0.01065,-0.05155
1969.583,-0.04878,0.01108,-0.05155
1969.667,-0.05119,0.01124,-0.05155
1969.750,-0.05190,0.01120,-0.05155
1969.833,-0.04938,0.01140,-0.05155
1969.917,-0.04746,0.01162,-0.05155
1970.000,-0.04572,0.01152,-0.05154
1970.083,-0.04801,0.01177,-0.05153
1970.167,-0.04947,0.01177,-0.05153
1970.250,-0.05003,0.01176,-0.05152
1970.333,-0.04711,0.01176,-0.05150
1970.417,-0.04516,0.01122,-0.05149
1970.500,-0.04550,0.01087,-0.05148
1970.583,-0.04512,0.01131,-0.05146
1970.667,-0.05084,0.01175,-0.05144
1970.750,-0.05174,0.01143,-0.05142
1970.833,-0.05135,0.01108,-0.05140
1970.917,-0.05332,0.01123,-0.05138
1971.000,-0.05470,0.01167,-0.05136
1971.083,-0.05540,0.01203,-0.05133
1971.167,-0.05407,0.01191,-0.05130
1971.250,-0.05555,0.01188,-0.05128
1971.333,-0.05681,0.01216,-0.05125
1971.417,-0.05574,0.01183,-0.05122
1971.500,-0.05203,0.01143,-0.05118
1971.583,-0.04971,0.01155,-0.05115
1971.667,-0.04568,0.01213,-0.05112
1971.750,-0.04586,0.01224,-0.05108
1971.833,-0.04605,0.01222,-0.05104
1971.917,-0.04737,0.01243,-0.05100
1972.000,-0.05162,0.01207,-0.05096
1972.083,-0.05280,0.01184,-0.05092
1972.167,-0.05324,0.01183,-0.05087
1972.250,-0.05711,0.01185,-0.05083
1972.333,-0.05905,0.01161,-0.05078
1972.417,-0.05659,0.01137,-0.05073
1972.500,-0.05272,0.01096,-0.05068
1972.583,-0.05656,0.01142,-0.05062
1972.667,-0.05574,0.01178,-0.05057
1972.750,-0.05233,0.01224,-0.05051
1972.833,-0.05363,0.01232,-0.05046
1972.917,-0.05406,0.01227,-0.05040
1973.000,-0.05362,0.01205,-0.05034
1973.083,-0.05482,0.01240,-0.05027
1973.167,-0.05287,0.01272,-0.05021
1973.250,-0.05224,0.01295,-0.05014
1973.333,-0.05029,0.01348,-0.05008
1973.417,-0.04846,0.01339,-0.05001
1973.500,-0.04881,0.01292,-0.04994
1973.583,-0.04903,0.01332,-0.04986
1973.667,-0.04822,0.01326,-0.04979
1973.750,-0.04873,0.01322,-0.04971
1973.833,-0.04887,0.01328,-0.04964
1973.917,-0.04498,0.01316,-0.04956
1974.000,-0.04729,0.01268,-0.04948
1974.083,-0.04812,0.01252,-0.04940
1974.167,-0.04800,0.01240,-0.04932
1974.250,-0.04907,0.01252,-0.04923
1974.333,-0.04595,0.01224,-0.04915
1974.417,-0.05263,0.01215,-0.04906
1974.500,-0.05366,0.01210,-0.04898
1974.583,-0.05481,0.01290,-0.04889
1974.667,-0.05492,0.01345,-0.04880
1974.750,-0.05106,0.01381,-0.04871
1974.833,-0.05066,0.01424,-0.04862
1974.917,-0.05213,0.01460,-0.04853
1975.000,-0.05726,0.01392,-0.04843
1975.083,-0.05937,0.01395,-0.04834
1975.167,-0.05251,0.01366,-0.04825
1975.250,-0.05183,0.01309,-0.04815
1975.333,-0.05240,0.01274,-0.04806
1975.417,-0.05295,0.01229,-0.04796
1975.500,-0.05349,0.01213,-0.04786
1975.583,-0.05251,0.01227,-0.04777
1975.667,-0.05014,0.01264,-0.04767
1975.750,-0.04759,0.01320,-0.04757
1975.833,-0.04888,0.01333,-0.04747
1975.917,-0.04917,0.01329,-0.04737
1976.000,-0.04770,0.01253,-0.04726
1976.083,-0.04868,0.01283,-0.04716
1976.167,-0.04433,0.01244,-0.04706
1976.250,-0.04629,0.01245,-0.04695
1976.333,-0.04725,0.01241,-0.04685
1976.417,-0.05122,0.01222,-0.04674
1976.500,-0.04842,0.01161,-0.04663
1976.583,-0.04568,0.01161,-0.04652
1976.667,-0.04409,0.01148,-0.04641
1976.750,-0.04627,0.01104,-0.04630
1976.833,-0.04881,0.01089,-0.04619
1976.917,-0.04839,0.01090,-0.04608
1977.000,-0.04841,0.01070,-0.04596
1977.083,-0.05149,0.01056,-0.04585
1977.167,-0.05246,0.01056,-0.04573
1977.250,-0.04817,0.01108,-0.04561
1977.333,-0.04936,0.01115,-0.04549
1977.417,-0.05421,0.01094,-0.04538
1977.500,-0.05237,0.01046,-0.04525
1977.583,-0.04972,0.01058,-0.04513
1977.667,-0.05234,0.01115,-0.04501
1977.750,-0.04757,0.01119,-0.04489
1977.833,-0.04645,0.01160,-0.04476
1977.917,-0.04590,0.01151,-0.04464
1978.000,-0.04704,0.01154,-0.04451
1978.083,-0.04270,0.01174,-0.04438
1978.167,-0.03863,0.01191,-0.04425
1978.250,-0.03863,0.01187,-0.04412
1978.333,-0.03825,0.01235,-0.04399
1978.417,-0.03904,0.01192,-0.04386
1978.500,-0.04161,0.01193,-0.04372
1978.583,-0.04620,0.01222,-0.04359
1978.667,-0.04912,0.01259,-0.04345
1978.750,-0.04637,0.01218,-0.04331
1978.833,-0.04688,0.01190,-0.04317
1978.917,-0.04948,0.01170,-0.04304
1979.000,-0.04437,0.01125,-0.04290
1979.083,-0.04874,0.01118,-0.04276
1979.167,-0.05212,0.01117,-0.04262
1979.250,-0.05095,0.01076,-0.04247
1979.333,-0.04918,0.01119,-0.04233
1979.417,-0.04754,0.01120,-0.04219
1979.500,-0.04838,0.01135,-0.04205
1979.583,-0.04608,0.01167,-0.04190
1979.667,-0.04041,0.01219,-0.04176
1979.750,-0.04540,0.01249,-0.04162
1979.833,-0.04384,0.01244,-0.04147
1979.917,-0.04272,0.01217,-0.04133
1980.000,-0.04394,0.01160,-0.04119
1980.083,-0.04272,0.01142,-0.04104
1980.167,-0.04326,0.01141,-0.04090
1980.250,-0.04472,0.01161,-0.04075
1980.333,-0.04623,0.01189,-0.04061
1980.417,-0.04667,0.01146,-0.04047
1980.500,-0.04430,0.01154,-0.04032
1980.583,-0.04021,0.01223,-0.04018
1980.667,-0.03721,0.01318,-0.04004
1980.750,-0.03123,0.01288,-0.03990
1980.833,-0.03198,0.01365,-0.03975
1980.917,-0.03141,0.01353,-0.03961
1981.000,-0.03293,0.01275,-0.03947
1981.083,-0.03198,0.01266,-0.03933
1981.167,-0.03324,0.01192,-0.03919
1981.250,-0.03414,0.01211,-0.03904
1981.333,-0.03596,0.01217,-0.03890
1981.417,-0.03588,0.01251,-0.03876
1981.500,-0.03136,0.01287,-0.03862
1981.583,-0.02905,0.01366,-0.03848
1981.667,-0.02950,0.01484,-0.03834
1981.750,-0.02905,0.01536,-0.03820
1981.833,-0.03038,0.01529,-0.03806
1981.917,-0.02813,0.01483,-0.03792
1982.000,-0.02526,0.01448,-0.03778
1982.083,-0.02633,0.01455,-0.03764
1982.167,-0.02516,0.01451,-0.03750
1982.250,-0.02944,0.01509,-0.03736
1982.333,-0.02824,0.01449,-0.03721
1982.417,-0.02776,0.01343,-0.03707
1982.500,-0.02834,0.01322,-0.03693
1982.583,-0.02892,0.01330,-0.03679
1982.667,-0.03299,0.01344,-0.03665
1982.750,-0.03334,0.01288,-0.03651
1982.833,-0.03496,0.01285,-0.03637
1982.917,-0.04001,0.01309,-0.03623
1983.000,-0.04260,0.01311,-0.03609
1983.083,-0.04194,0.01279,-0.03595
1983.167,-0.04106,0.01295,-0.03581
1983.250,-0.04090,0.01316,-0.03567
1983.333,-0.04235,0.01342,-0.03552
1983.417,-0.04101,0.01325,-0.03539
1983.500,-0.03403,0.01306,-0.03525
1983.583,-0.03448,0.01385,-0.03511
1983.667,-0.03761,0.01440,-0.03497
1983.750,-0.04002,0.01503,-0.03483
1983.833,-0.04211,0.01548,-0.03469
1983.917,-0.03730,0.01484,-0.03455
1984.000,-0.03912,0.01443,-0.03442
1984.083,-0.03687,0.01433,-0.03428
1984.167,-0.03931,0.01369,-0.03415
1984.250,-0.04204,0.01368,-0.03401
1984.333,-0.04391,0.01371,-0.03388
1984.417,-0.04171,0.01293,-0.03375
1984.500,-0.03870,0.01133,-0.03362
1984.583,-0.04267,0.01197,-0.03348
1984.667,-0.04107,0.01208,-0.03335
1984.750,-0.04072,0.01206,-0.03322
1984.833,-0.03691,0.01140,-0.03310
1984.917,-0.03404,0.01062,-0.03297
1985.000,-0.03338,0.01032,-0.03284
1985.083,-0.03374,0.01004,-0.03271
1985.167,-0.03082,0.00993,-0.03259
1985.250,-0.02610,0.01019,-0.03246
1985.333,-0.02444,0.01013,-0.03234
1985.417,-0.02397,0.01072,-0.03221
1985.500,-0.02466,0.01069,-0.03209
1985.583,-0.02600,0.01157,-0.03197
1985.667,-0.02540,0.01272,-0.03185
1985.750,-0.02432,0.01325,-0.03172
1985.833,-0.02333,0.01288,-0.03160
1985.917,-0.02063,0.01247,-0.03148
1986.000,-0.02058,0.01195,-0.03136
1986.083,-0.02156,0.01194,-0.03124
1986.167,-0.02039,0.01143,-0.03113
1986.250,-0.02215,0.01081,-0.03101
1986.333,-0.02675,0.01106,-0.03089
1986.417,-0.02656,0.01083,-0.03077
1986.500,-0.02497,0.01009,-0.03066
1986.583,-0.02455,0.01030,-0.03054
1986.667,-0.02548,0.01074,-0.03042
1986.750,-0.02529,0.01085,-0.03031
1986.833,-0.02688,0.01147,-0.03019
1986.917,-0.02828,0.01153,-0.03008
1987.000,-0.02898,0.01128,-0.02996
1987.083,-0.02990,0.01100,-0.02985
1987.167,-0.03063,0.01092,-0.02973
1987.250,-0.02788,0.01093,-0.02962
1987.333,-0.02772,0.01125,-0.02950
1987.417,-0.02715,0.01097,-0.02938
1987.500,-0.02552,0.01057,-0.02927
1987.583,-0.02538,0.01114,-0.02915
1987.667,-0.02557,0.01104,-0.02904
1987.750,-0.02917,0.01092,-0.02892
1987.833,-0.02946,0.01117,-0.02881
1987.917,-0.03155,0.01095,-0.02869
1988.000,-0.03231,0.01052,-0.02857
1988.083,-0.03491,0.01079,-0.02846
1988.167,-0.03963,0.01052,-0.02834
1988.250,-0.03532,0.01052,-0.02822
1988.333,-0.03484,0.01069,-0.02811
1988.417,-0.03426,0.01031,-0.02799
1988.500,-0.03399,0.01002,-0.02788
1988.583,-0.03711,0.01055,-0.02776
1988.667,-0.03606,0.01121,-0.02764
1988.750,-0.03787,0.01197,-0.02753
1988.833,-0.03973,0.01225,-0.02741
1988.917,-0.03728,0.01233,-0.02730
1989.000,-0.03519,0.01181,-0.02718
1989.083,-0.03249,0.01164,-0.02707
1989.167,-0.02943,0.01172,-0.02695
1989.250,-0.02760,0.01157,-0.02683
1989.333,-0.02603,0.01196,-0.02672
1989.417,-0.02598,0.01195,-0.02660
1989.500,-0.02496,0.01171,-0.02649
1989.583,-0.02561,0.01186,-0.02637
1989.667,-0.02577,0.01207,-0.02625
1989.750,-0.02597,0.01173,-0.02614
1989.833,-0.02828,0.01114,-0.02602
1989.917,-0.03266,0.01157,-0.02590
1990.000,-0.03295,0.01115,-0.02579
1990.083,-0.03164,0.01116,-0.02567
1990.167,-0.03166,0.01113,-0.02555
1990.250,-0.03407,0.01138,-0.02543
1990.333,-0.03022,0.01185,-0.02531
1990.417,-0.02851,0.01117,-0.02520
1990.500,-0.02632,0.01039,-0.02508
1990.583,-0.02102,0.01147,-0.02496
1990.667,-0.01831,0.01150,-0.02484
1990.750,-0.01471,0.01162,-0.02472
1990.833,-0.01482,0.01176,-0.02460
1990.917,-0.01297,0.01196,-0.02447
1991.000,-0.01222,0.01179,-0.02435
1991.083,-0.01039,0.01110,-0.02423
1991.167,-0.01566,0.01070,-0.02411
1991.250,-0.01859,0.01064,-0.02399
1991.333,-0.02012,0.01002,-0.02387
1991.417,-0.02416,0.00971,-0.02374
1991.500,-0.02635,0.00970,-0.02362
1991.583,-0.02356,0.01055,-0.02350
1991.667,-0.02520,0.01113,-0.02337
1991.750,-0.02582,0.01139,-0.02325
1991.833,-0.02145,0.01211,-0.02313
1991.917,-0.02268,0.01243,-0.02300
1992.000,-0.02023,0.01239,-0.02288
1992.083,-0.02564,0.01258,-0.02276
1992.167,-0.02487,0.01277,-0.02264
1992.250,-0.02101,0.01266,-0.02251
1992.333,-0.02132,0.01249,-0.02239
1992.417,-0.01624,0.01140,-0.02227
1992.500,-0.02382,0.01070,-0.02214
1992.583,-0.02536,0.01067,-0.02202
