"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1940.000,-0.03645,0.03291,-0.03005
1940.083,-0.03183,0.03187,-0.03004
1940.167,-0.03225,0.03120,-0.03003
1940.250,-0.03581,0.03081,-0.03002
1940.333,-0.03721,0.03063,-0.03001
1940.417,-0.03800,0.03104,-0.02999
1940.500,-0.03365,0.03035,-0.02998
1940.583,-0.03594,0.03077,-0.02997
1940.667,-0.03732,0.03075,-0.02996
1940.750,-0.04013,0.03038,-0.02996
1940.833,-0.03858,0.03034,-0.02995
1940.917,-0.04062,0.02998,-0.02994
1941.000,-0.04237,0.03028,-0.02993
1941.083,-0.04124,0.03188,-0.02993
1941.167,-0.04062,0.03274,-0.02992
1941.250,-0.03985,0.03319,-0.02991
1941.333,-0.03664,0.03287,-0.02991
1941.417,-0.04108,0.03336,-0.02990
1941.500,-0.04527,0.03456,-0.02990
1941.583,-0.04256,0.03585,-0.02990
1941.667,-0.04318,0.03685,-0.02989
1941.750,-0.04114,0.03765,-0.02989
1941.833,-0.04053,0.03786,-0.02989
1941.917,-0.04060,0.03873,-0.02989
1942.000,-0.03684,0.03801,-0.02988
1942.083,-0.03907,0.03816,-0.02988
1942.167,-0.03552,0.03929,-0.02988
1942.250,-0.03142,0.03964,-0.02988
1942.333,-0.02884,0.03974,-0.02988
1942.417,-0.02576,0.03806,-0.02988
1942.500,-0.02615,0.03782,-0.02989
1942.583,-0.02558,0.03893,-0.02989
1942.667,-0.02588,0.03996,-0.02989
1942.750,-0.02696,0.04041,-0.02989
1942.833,-0.02720,0.04036,-0.02990
1942.917,-0.02897,0.04004,-0.02990
1943.000,-0.02854,0.03899,-0.02990
1943.083,-0.02666,0.03831,-0.02991
1943.167,-0.01900,0.03908,-0.02991
1943.250,-0.01639,0.04000,-0.02992
1943.333,-0.02614,0.04125,-0.02992
1943.417,-0.02496,0.04147,-0.02993
1943.500,-0.02311,0.04123,-0.02993
1943.583,-0.02244,0.04023,-0.02994
1943.667,-0.02374,0.04105,-0.02995
1943.750,-0.01854,0.04124,-0.02995
1943.833,-0.01974,0.04187,-0.02996
1943.917,-0.02260,0.04201,-0.02997
1944.000,-0.02154,0.04133,-0.02998
1944.083,-0.02174,0.04151,-0.02998
1944.167,-0.02073,0.04141,-0.02999
1944.250,-0.02261,0.04244,-0.03000
1944.333,-0.02237,0.04261,-0.03001
1944.417,-0.02322,0.04238,-0.03002
1944.500,-0.02526,0.04119,-0.03003
1944.583,-0.02103,0.04123,-0.03004
1944.667,-0.02459,0.04098,-0.03004
1944.750,-0.02569,0.04154,-0.03005
1944.833,-0.02637,0.04196,-0.03006
1944.917,-0.02501,0.04189,-0.03007
1945.000,-0.02410,0.04127,-0.03008
1945.083,-0.02949,0.04121,-0.03010
1945.167,-0.03117,0.04139,-0.03011
1945.250,-0.02932,0.04148,-0.03012
1945.333,-0.02981,0.04150,-0.03013
1945.417,-0.02955,0.04109,-0.03014
1945.500,-0.02974,0.04116,-0.03015
1945.583,-0.03299,0.04083,-0.03016
1945.667,-0.03416,0.04054,-0.03017
1945.750,-0.03227,0.04045,-0.03019
1945.833,-0.03298,0.04044,-0.03020
1945.917,-0.03455,0.03978,-0.03021
1946.000,-0.03507,0.03918,-0.03022
1946.083,-0.03408,0.03854,-0.03023
1946.167,-0.03670,0.03641,-0.03025
1946.250,-0.03277,0.03589,-0.03026
1946.333,-0.03315,0.03607,-0.03027
