"year","global mean SC","2s.d. error range","smoothed global mean SC, by LOWESS with span width of 240 month"
1940.000,-0.05248,0.04246,-0.03548
1940.083,-0.03651,0.04137,-0.03552
1940.167,-0.03516,0.04078,-0.03557
1940.250,-0.04175,0.04013,-0.03562
1940.333,-0.04595,0.04014,-0.03567
1940.417,-0.04783,0.04176,-0.03572
1940.500,-0.03712,0.04121,-0.03576
1940.583,-0.04221,0.04244,-0.03581
1940.667,-0.04367,0.04138,-0.03587
1940.750,-0.04890,0.04084,-0.03592
1940.833,-0.04387,0.04092,-0.03597
1940.917,-0.04409,0.03924,-0.03602
1941.000,-0.05207,0.03930,-0.03608
1941.083,-0.05229,0.04142,-0.03613
1941.167,-0.05411,0.04261,-0.03619
1941.250,-0.05826,0.04253,-0.03624
1941.333,-0.05095,0.04097,-0.03630
1941.417,-0.06070,0.04148,-0.03636
1941.500,-0.06936,0.04234,-0.03642
1941.583,-0.06160,0.04408,-0.03648
1941.667,-0.06039,0.04639,-0.03654
1941.750,-0.05492,0.04779,-0.03660
1941.833,-0.05542,0.04828,-0.03666
1941.917,-0.05750,0.05123,-0.03672
1942.000,-0.04902,0.05079,-0.03678
1942.083,-0.05595,0.05172,-0.03685
1942.167,-0.05025,0.05466,-0.03691
1942.250,-0.04232,0.05515,-0.03697
1942.333,-0.03678,0.05497,-0.03704
1942.417,-0.03002,0.04998,-0.03711
1942.500,-0.02905,0.04844,-0.03717
1942.583,-0.02723,0.05110,-0.03724
1942.667,-0.02911,0.05240,-0.03731
1942.750,-0.03129,0.05340,-0.03738
1942.833,-0.03160,0.05344,-0.03745
1942.917,-0.03457,0.05332,-0.03752
1943.000,-0.03460,0.05193,-0.03759
1943.083,-0.03086,0.04993,-0.03766
1943.167,-0.01184,0.05107,-0.03773
1943.250,-0.00746,0.05403,-0.03780
1943.333,-0.03491,0.05601,-0.03787
1943.417,-0.03295,0.05327,-0.03794
1943.500,-0.02666,0.05241,-0.03802
1943.583,-0.02396,0.05062,-0.03809
1943.667,-0.02726,0.05250,-0.03816
1943.750,-0.01338,0.05308,-0.03824
1943.833,-0.01758,0.05358,-0.03831
1943.917,-0.02662,0.05583,-0.03838
1944.000,-0.02412,0.05550,-0.03846
1944.083,-0.02544,0.05623,-0.03853
1944.167,-0.02275,0.05593,-0.03861
1944.250,-0.02693,0.05814,-0.03869
1944.333,-0.02660,0.05750,-0.03876
1944.417,-0.02884,0.05629,-0.03884
1944.500,-0.03290,0.05471,-0.03891
1944.583,-0.02220,0.05714,-0.03899
1944.667,-0.03124,0.05662,-0.03907
1944.750,-0.03040,0.05843,-0.03915
1944.833,-0.03205,0.06094,-0.03922
1944.917,-0.02703,0.06011,-0.03930
1945.000,-0.02704,0.05903,-0.03938
1945.083,-0.04107,0.05869,-0.03946
1945.167,-0.04540,0.05837,-0.03954
1945.250,-0.04209,0.05869,-0.03961
1945.333,-0.04167,0.05883,-0.03969
1945.417,-0.04151,0.05797,-0.03977
1945.500,-0.04024,0.05924,-0.03985
1945.583,-0.04851,0.05798,-0.03993
1945.667,-0.05052,0.05780,-0.04001
1945.750,-0.04513,0.05750,-0.04009
1945.833,-0.04732,0.05715,-0.04017
1945.917,-0.05129,0.05584,-0.04025
1946.000,-0.04984,0.05601,-0.04033
1946.083,-0.03988,0.05466,-0.04041
