,random,strat,random_rich,strat_rich
0,44300.292991790644,44842.763816654544,59837.2021361053,59677.94864607174
1,45282.62826159728,43734.01249548486,57820.497704037,56472.51275887755
2,44101.38236291544,44573.903726921075,53407.776124246506,60544.13818636911
3,43927.90175532715,45134.346801527834,55439.776448516626,64307.13836428405
4,46157.27043456763,43987.356349282614,63689.96546126102,49630.79131614432
5,44691.54115050076,44781.410763899796,52623.2439728772,50997.68032695369
6,45975.19678594471,44755.73224142291,58844.21402444414,46214.89217310183
7,46026.00244568744,44473.66728651096,55269.74262181326,58358.49439673687
8,43886.74936649821,45962.93582622565,52525.601244641744,63132.459029999794
9,43471.498481572824,44369.668885856554,60274.72577356274,50816.57265917682
10,44502.26371637328,43041.42773744496,50563.0634545002,58655.27489642005
11,45430.59102078033,45153.5455386979,47616.9446587292,58989.40443869345
12,44824.78431868788,46373.37073920234,61092.942928407,63677.634328316504
13,45327.20775874533,44433.186400767634,58073.69977013647,56989.040677147634
14,44277.83816470689,45074.404081835375,52157.73030083538,57479.61003833212
15,44284.15902643549,44391.73898341416,61349.89507440926,64521.61113035804
16,44043.391725458634,45402.7663464967,61916.135110108255,60583.242816464764
17,44834.91668252071,44706.1390176796,45655.42622877871,61725.02209171109
18,45236.128457064675,45507.47163984142,62752.99147825003,57088.09925742314
19,43375.46749648407,45206.227834120255,57149.11547167504,61748.27366522015
20,44454.572394401526,44125.154699348444,54204.842385016644,53245.36780806265
21,44074.47344564045,44126.011257050865,54048.436210730426,54299.8650265796
22,45422.824160013566,43353.192746400964,46168.26918796293,53440.578741163314
23,41793.06242126632,44302.79209914968,58778.76092874371,50407.490358930925
24,44420.97808369024,44373.13006682459,53824.01483717319,55584.892694625356
25,43765.95912232698,43387.77499139685,59683.82030446767,55653.1969075609
26,44552.38304704357,44441.63347201833,55851.35271414651,56615.466230597594
27,44394.70910274986,44701.36441744774,56794.709654587175,58526.32063832748
28,44578.9016893697,44923.0135438405,62651.63670105076,60423.88839859902
29,45690.987452706664,42870.69213410908,61306.354011283875,64702.68933102137
30,45648.067174702715,43419.73552833733,66356.9642771639,53754.707787923835
31,44549.7445126738,43835.18488815365,52040.547528221075,55537.76437618607
32,43843.81111525703,43450.59712241792,63323.93165597325,49478.584440684725
33,43615.73972962167,45091.71191407076,52702.02379325448,52802.83348878585
34,44196.800606143384,43862.63185428493,44423.993209039814,48698.361911435415
35,45026.02153071372,44133.97724860326,49343.58829834081,51682.50213087537
36,44860.018228527064,43609.77149371112,56600.39019258659,48297.7843637205
37,44906.613188671814,44146.36930848937,57235.18352958264,66061.17022809057
38,44900.185340857555,44942.162462378656,52812.333088882566,52807.76134784951
39,44521.494926933025,44366.80596038177,56632.217928460595,53687.53689430889
40,44304.72274864146,44114.632756368155,48044.6583471974,44758.179272017216
41,43987.57890334362,43955.51341109529,52561.86556138643,54467.24178165797
42,44989.900513813365,45266.08789801062,53012.9632379135,58856.918321347024
43,44097.48806241046,45492.013968392064,62953.65457346054,60841.03288651839
44,45531.56975891868,43396.50444116527,52930.415045058035,60079.85482698628
45,44350.520902696444,45223.43537963566,46174.578993183466,58561.5184866335
46,44605.00638752229,44696.529025327334,44625.24070944681,64607.94668061904
47,42307.11905829323,45596.52240721322,66665.03222367517,62864.76646373294
48,45045.875166919366,46075.00687350166,55160.8982951782,52773.908110936674
49,44683.89606147716,44544.49910219836,43550.076980321726,54733.173913693936
50,45565.40761981757,45185.02259663535,55843.35412695183,65294.771457464645
51,43919.29081729216,44567.166256049786,50665.307826136,59965.52574816608
52,44801.17892560347,44354.66614929338,50230.95785506223,49732.20128131989
53,45050.62040414526,46372.44870364675,59588.4369788141,55223.17087301164
54,44281.664306246326,44344.70262070037,58308.723413993466,55449.82052871467
