,random,strat,random_rich,strat_rich
0,44265.25857886723,44203.904081718894,61128.85476097344,50107.35962477795
1,44279.82478869184,44129.47615801208,49454.13473395274,57890.68547473159
2,44602.36400588314,43430.77972405583,56684.95737532704,62395.51394311488
3,44044.05846196027,43355.940478390374,54483.63602310556,50693.41076836429
4,45255.130574920004,45230.3729928282,52994.311162195096,52764.14947258429
5,44823.3176192924,43045.31824060612,57996.06260711091,63716.99254744738
6,43063.55752939595,43020.06245110034,52106.257134241394,61231.89275087839
7,44708.95994244688,44699.05784182449,55014.74810711777,71901.90781210839
8,43506.12278519405,44304.70315561334,65651.51824061114,51849.73213725712
9,44056.4715291018,44725.950328531486,65644.65011379139,66679.51201730817
10,44110.944861804266,44098.969014570524,52684.17132779761,61607.77688952038
11,44636.10074878302,45222.404227131,55269.73075975654,50943.47597370455
12,43385.38818052518,43681.37292981448,49643.83797351632,70129.05297044443
13,44178.070508041696,42721.401778603395,50952.81772858846,58567.793523098095
14,44526.409691949506,44257.315006706645,68804.90277227812,63538.249515782154
15,43685.95836770345,43510.07688807122,53785.17924645013,57964.25870133674
16,44145.00166613958,44564.39756526372,59039.28410966564,61473.02534517531
17,43238.50613709506,45030.9065682689,60240.90234109447,60385.243078441876
18,44555.42006916942,43328.8538012294,54167.1553921126,57595.8980314424
19,43236.3964237349,43593.94330249417,58460.112415016694,62596.55549423108
20,43620.094558503435,45063.381955329896,55978.954819986546,66298.02799436818
21,44895.12063295944,44555.982459109655,54047.458645823375,62828.03776682533
22,45119.940122891494,44942.806295505165,52331.00158227501,62323.75793047535
23,43343.06624859454,45339.95631932112,56773.61014374732,68590.37623161287
24,44678.360238602654,42258.77975235886,52757.81863200715,69789.99122626624
25,43087.546785914245,44093.233578931664,54918.83353506201,64377.316077029835
26,44035.59132161527,45659.007294258394,53406.97521947295,49083.823911001964
27,44528.826515304085,43606.91814449715,55612.15710862917,59044.15865277862
28,43382.46557004252,44243.7767498312,54631.6428285673,61831.75671909544
29,44611.94718778155,44881.55864014284,54592.204867250824,62123.80596544975
30,44911.142598423125,44509.20058783758,60773.22105178025,51267.95604222176
31,43458.09703528028,44081.42753661417,51427.669194473194,57658.174827830364
32,43005.058812919946,43337.59320412322,60648.39040026598,57333.859252166
33,43212.640365017935,43518.46510852244,57441.85680383161,58751.756661303756
34,43028.026324821985,44050.34467350038,55242.73194880477,60261.859584748265
35,44106.43622486999,44632.092569469896,57449.104871881435,67242.72118598394
36,43736.04335465481,46227.19537981471,56591.40943837874,59281.58494852902
37,42017.58124052264,45180.18180559592,51466.80749942634,53951.92474542414
38,43225.87992143475,43866.328402798164,57386.39494150783,49097.26383847801
39,43626.60872338875,42935.92228454874,56393.08429882166,58604.457867679084
40,44369.4296187035,44335.43705534008,48266.88588842264,60349.18151075219
41,43919.464324435336,44877.85858521931,57407.887729553535,56578.4606483755
42,45122.018929402584,42676.2159480053,59380.57210005048,62584.02126383647
43,42574.52900310207,45118.59736900661,61445.374039136,69827.370967493
44,43678.41913680699,43867.97121087285,59231.410148232564,61616.19298400535
45,42382.759726543074,44200.96513383312,56000.29371340524,58269.630120363116
46,44427.894326712114,44438.83504184649,63172.75921951967,59928.23178112498
47,42922.95360206726,44310.243734677606,60695.65157857641,50617.19399113538
48,44533.84020455914,44165.24520042037,62097.89260237875,57152.20222495928
49,43266.44127923402,44684.60116076424,52835.967040750875,56476.984930962004
50,43943.89866020973,41878.723010904556,59802.338856497525,59830.05612248719
51,43614.607119212465,43972.41651009115,65677.9906614605,49132.58795211978
52,43872.751279428034,43205.0227421524,61529.956743928575,60294.01310598857
53,43679.22847397096,44589.268355034954,64398.573264540355,61982.78027715172
54,43400.20756471679,44185.82040954613,61243.85232000462,60233.47300471176
55,43044.966478352464,43454.91102792729,65556.85276342994,60239.9799794348
56,44728.87844118408,43480.694917104156,54251.44259700574,51951.367692804575
57,44969.22874135222,44545.20187379306,51732.79793339564,60154.02342168332
58,44091.59624268078,45044.96726033638,55876.26449452785,48676.718854644525
59,43245.09640809284,43295.38250896933,73670.04544265184,47014.158603326556
60,42939.28743012192,44850.43460377751,66387.58165516582,62739.56376829336
61,44250.258688629954,43352.9736136383,65197.143186106165,66646.3664672353
62,45135.322005974755,42973.3046365957,55439.754730965666,68001.92513614759
63,43922.98890711335,43780.982035972454,51864.53514177715,58532.522088399586
64,42889.76254040459,44434.29916535312,58258.65243002933,67258.46960536193
65,44972.53877116116,43467.21575531313,49579.19143469046,52138.13816862682
66,45330.91396188632,43364.28610899273,61056.68710664931,61674.488666992154
67,43692.61701506683,44670.74373814979,67667.75276580342,61452.949891787764
68,44594.64427715461,43521.51357900764,65169.44019389137,49350.85077424407
69,44457.45842352549,43755.50111792451,55734.69315976714,65166.16982896213
70,42108.72601407016,44245.83249096421,58907.164648536804,53280.0453019252
71,44716.56185887426,42279.112843237956,60432.634566575674,59637.301007822156
