,mean,range,params
mean_squared_error, 1.973e+09, 4.788e+08,"{'n_estimators': 30, 'max_features': 8}"
r2_score, 6.673e-01, 7.530e-02,"{'n_estimators': 30, 'max_features': 8}"
mean_absolute_error, 2.964e+04, 1.788e+03,"{'n_estimators': 30, 'max_features': 8}"
