"세종특별자치시",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.597,2.2,29.3,101.1,141.9,38.0,7.8,0.0,1.435,1.7,23.3,91.0,127.4,39.0,5.5,0.0,1.354,1.7,18.5,84.2,120.3,42.9,4.8,0.2,1.893,1.3,19.1,119.7,169.7,64.0,6.3,0.3,1.821,1.1,19.7,110.0,160.7,63.4,9.6,0.2,1.668,0.8,14.8,95.2,153.2,63.8,7.1,0.5,1.566,1.2,12.4,85.8,143.7,61.3,9.5,0.3,1.472,0.7,11.6,73.1,139.8,60.6,9.5,0.4,1.277,0.2,8.7,56.0,128.0,54.8,7.7,0.3
"경기도",1.861,6.9,99.5,184.3,64.2,14.4,2.3,0.3,1.825,5.8,88.4,185.9,66.4,15.5,2.3,0.3,1.812,5.1,85.3,184.4,68.4,15.7,2.7,0.3,1.725,4.5,79.0,176.6,70.3,16.5,2.8,0.2,1.689,3.9,73.2,173.3,72.4,16.7,2.8,0.3,1.602,3.5,64.1,164.8,72.7,16.6,3.0,0.3,1.565,3.4,57.5,160.8,74.3,16.3,2.9,0.3,1.628,3.0,51.1,166.0,86.1,18.4,3.0,0.3,1.437,2.7,40.9,143.9,79.7,18.0,3.0,0.3,1.305,3.0,34.7,126.3,77.2,17.5,2.8,0.3,1.321,2.8,29.7,128.3,83.2,18.2,2.9,0.3,1.280,2.8,25.8,118.7,87.7,19.3,2.8,0.3,1.183,2.3,21.6,104.2,85.7,19.6,2.8,0.3,1.239,2.2,21.3,102.4,95.0,22.3,2.9,0.2,1.361,2.1,21.6,107.4,107.7,27.3,3.5,0.2,1.285,1.6,19.6,95.8,107.2,27.9,3.2,0.2,1.226,1.5,17.3,88.9,106.1,28.4,3.6,0.2,1.309,1.6,16.9,87.9,118.7,34.4,4.2,0.2,1.314,1.6,16.5,85.4,119.7,36.9,4.9,0.2,1.355,1.5,16.3,83.1,126.4,40.1,5.0,0.2,1.226,1.4,13.6,69.5,115.3,40.1,4.9,0.1,1.241,1.3,12.8,66.6,117.4,43.5,5.2,0.1,1.272,1.1,11.9,65.9,119.8,49.1,5.7,0.2,1.194,1.0,11.2,57.6,113.1,48.7,6.0,0.2,1.069,0.8,9.2,48.3,100.6,47.5,6.1,0.2,1.002,0.7,7.6,41.8,94.7,47.2,6.5,0.2,0.943,0.7,6.7,36.5,89.3,46.2,7.2,0.2,0.878,0.7,5.9,32.3,83.3,44.3,7.5,0.2
"강원도",1.518,5.6,69.2,156.1,56.5,13.4,2.1,0.2,1.533,4.8,63.5,157.9,61.5,15.2,3.0,0.3,1.548,5.0,61.6,161.1,63.4,15.1,2.8,0.3,1.566,4.6,59.6,161.2,66.6,15.1,3.2,0.4,1.597,4.2,60.3,160.1,73.1,17.3,3.0,0.2,1.562,4.6,59.4,155.2,72.1,16.8,3.0,0.4,1.546,4.1,54.1,154.3,73.8,17.2,3.5,0.2,1.600,3.9,50.4,159.6,80.2,19.4,3.3,0.4,1.413,2.7,39.5,138.1,76.9,18.6,3.1,0.3,1.317,3.8,34.6,125.1,75.3,18.6,2.9,0.4,1.279,3.1,31.0,120.5,77.3,18.4,2.9,0.2,1.261,3.0,27.7,115.0,82.0,19.5,3.3,0.3,1.188,2.7,24.0,105.9,80.3,19.6,2.9,0.3,1.202,2.9,22.9,103.1,84.3,21.5,2.9,0.2,1.356,2.8,26.0,112.9,96.4,25.7,3.9,0.2,1.253,2.3,23.2,101.3,92.5,24.3,3.9,0.2,1.248,2.5,21.1,99.0,95.8,26.7,3.8,0.2,1.313,2.1,21.8,96.8,108.7,29.4,4.4,0.2,1.338,2.6,22.3,96.0,110.1,32.9,4.6,0.3,1.374,2.3,21.0,93.9,117.2,35.3,5.1,0.2,1.249,2.4,19.1,80.3,106.5,34.6,4.8,0.1,1.248,2.0,16.7,78.8,108.4,36.7,4.7,0.1,1.311,2.1,17.1,77.6,114.6,42.7,5.5,0.1,1.237,1.5,15.6,71.8,107.8,42.5,5.2,0.1,1.123,1.4,13.3,64.7,95.6,41.0,5.9,0.1,1.067,1.2,12.1,57.6,91.5,42.7,5.6,0.2,1.082,1.3,11.0,54.7,96.6,43.1,6.7,0.3,1.036,1.3,10.2,51.0,92.7,42.4,7.3,0.1
"충청북도",1.715,6.0,85.0,177.7,58.1,13.3,2.3,0.2,1.667,5.4,75.6,177.0,59.1,13.4,2.1,0.3,1.675,5.1,73.7,177.4,61.3,14.5,2.5,0.2,1.668,4.6,71.3,174.9,63.8,15.6,2.9,0.3,1.672,5.1,71.3,170.0,69.8,16.0,2.8,0.5,1.596,4.1,65.0,163.7,68.5,16.0,3.1,0.1,1.549,4.2,57.3,161.9,67.1,15.8,2.7,0.3,1.583,3.9,51.3,160.6,78.8,17.4,2.8,0.5,1.426,3.3,42.2,143.6,73.6,16.7,3.0,0.4,1.294,3.7,36.8,126.6,68.6,17.1,3.2,0.3,1.270,3.2,32.6,124.5,71.0,17.2,2.9,0.3,1.272,3.2,29.0,123.3,76.5,18.3,3.0,0.3,1.195,2.9,24.6,111.5,77.6,17.5,2.9,0.2,1.233,2.6,26.1,107.5,84.6,19.9,3.1,0.3,1.398,2.9,28.9,118.9,97.7,24.0,3.1,0.3,1.319,2.0,26.0,111.0,95.2,23.0,3.0,0.2,1.317,2.3,25.4,107.3,100.0,24.0,3.3,0.2,1.402,2.2,24.4,104.6,117.0,28.9,4.4,0.2,1.428,2.5,24.7,105.0,117.6,33.3,4.4,0.2,1.485,2.6,23.8,104.4,127.5,35.9,4.3,0.2,1.365,2.2,21.9,89.6,116.8,37.4,4.4,0.1,1.363,2.0,19.0,87.6,118.4,38.8,5.1,0.1,1.414,2.0,17.9,88.6,122.7,44.8,5.4,0.2,1.358,1.6,17.6,80.7,118.6,46.1,5.1,0.2,1.235,1.5,14.8,67.8,108.2,46.8,5.9,0.2,1.172,1.3,14.0,63.1,102.5,45.4,5.8,0.1,1.050,1.5,11.6,52.6,93.8,41.5,6.5,0.2,0.983,1.1,10.1,46.1,90.0,41.2,6.1,0.1
"충청남도",1.602,5.9,74.3,166.5,57.4,13.6,2.1,0.2,1.601,5.9,68.7,170.3,57.6,14.7,2.4,0.2,1.642,5.8,69.7,171.2,63.0,15.1,2.8,0.3,1.655,5.0,68.5,170.4,64.8,16.0,2.9,0.3,1.695,5.7,69.9,171.9,69.0,16.9,3.0,0.3,1.666,5.8,66.4,169.8,69.8,16.9,3.0,0.3,1.635,5.7,63.1,167.7,69.0,17.1,2.8,0.2,1.698,5.1,58.1,171.9,80.9,18.1,3.2,0.3,1.532,4.3,49.9,151.4,76.0,18.5,3.8,0.2,1.361,4.1,43.3,128.8,73.2,17.1,2.5,0.3,1.358,3.9,36.3,133.2,74.7,17.9,3.2,0.3,1.357,3.9,33.2,129.5,81.1,19.1,3.2,0.3,1.267,3.3,31.4,115.8,79.0,19.3,3.2,0.3,1.356,3.7,30.8,122.2,86.8,21.6,3.5,0.3,1.506,3.4,35.0,132.7,98.1,25.2,3.8,0.3,1.444,2.7,31.8,123.1,98.9,25.7,3.6,0.3,1.408,2.6,30.2,116.7,102.1,25.4,4.1,0.3,1.479,2.6,29.7,116.8,112.9,31.0,4.2,0.3,1.496,2.9,30.5,114.3,118.3,31.0,4.8,0.2,1.571,2.8,29.3,113.0,130.6,34.9,4.9,0.2,1.442,2.4,25.1,97.6,120.0,37.5,4.6,0.2,1.421,2.3,22.5,91.4,122.2,39.1,5.0,0.2,1.480,2.0,22.5,97.8,123.0,44.5,5.3,0.1,1.395,2.0,20.4,85.4,118.6,45.8,5.2,0.2,1.276,1.8,17.4,75.7,107.8,45.3,5.9,0.2,1.186,1.3,15.7,66.4,102.7,43.7,5.8,0.1,1.112,1.4,13.7,58.6,97.4,42.0,6.9,0.2,1.029,1.1,11.5,52.1,92.7,39.4,7.1,0.2
"전라북도",1.607,5.3,66.6,172.2,60.9,13.5,2.2,0.2,1.664,5.0,64.4,176.7,67.7,15.8,2.3,0.4,1.694,5.2,64.1,178.7,70.0,17.1,3.0,0.2,1.672,5.3,62.4,173.0,72.0,17.3,2.8,0.3,1.639,5.2,59.7,167.2,74.2,17.8,2.9,0.2,1.612,4.6,55.6,166.8,73.6,18.4,2.8,0.2,1.534,4.4,50.8,157.0,72.6,17.5,3.0,0.2,1.595,4.5,47.9,160.2,82.4,18.8,2.8,0.3,1.426,3.7,40.5,141.0,76.3,18.7,3.2,0.3,1.275,3.5,36.2,122.0,71.9,17.1,2.7,0.3,1.274,3.6,32.6,121.4,75.7,17.0,2.8,0.2,1.239,3.5,28.9,114.0,79.8,17.6,2.7,0.2,1.184,3.3,24.6,105.1,79.5,18.8,3.2,0.3,1.213,3.6,25.0,102.2,85.0,20.5,3.2,0.3,1.380,3.7,28.6,112.4,98.7,25.4,3.4,0.2,1.305,2.4,27.2,102.9,97.5,24.0,3.5,0.2,1.279,2.4,26.2,95.4,101.9,24.8,3.7,0.3,1.374,2.8,25.3,98.8,112.1,31.4,4.1,0.2,1.405,2.8,25.1,97.9,116.7,33.8,4.8,0.3,1.440,2.6,23.4,96.2,122.7,37.2,5.5,0.2,1.320,2.3,20.1,80.2,116.6,37.5,5.5,0.3,1.329,2.5,18.8,79.8,116.3,40.8,5.2,0.2,1.352,1.9,17.6,78.0,119.0,46.0,5.6,0.2,1.251,1.5,16.1,66.8,113.5,43.9,5.7,0.2,1.151,1.3,13.4,61.4,100.7,44.7,5.7,0.2,1.044,1.1,12.1,49.7,92.5,43.9,6.4,0.2,0.971,1.1,10.5,45.0,87.3,40.8,6.4,0.2,0.909,1.1,8.1,40.3,82.4,40.3,6.9,0.2
"전라남도",1.642,5.1,72.7,175.1,58.3,14.2,1.9,0.3,1.700,5.2,71.7,179.0,64.4,16.2,2.6,0.3,1.780,5.2,72.1,187.9,69.1,17.8,2.6,0.5,1.766,5.0,72.7,181.4,71.1,17.0,3.1,0.3,1.808,5.3,70.9,182.7,77.2,18.7,3.1,0.5,1.736,5.7,64.6,175.7,75.5,18.9,3.3,0.4,1.725,5.0,59.9,173.7,80.3,18.9,3.4,0.4,1.750,4.5,56.6,171.4,88.5,20.5,3.5,0.3,1.566,4.3,46.8,154.4,80.2,20.2,2.9,0.3,1.391,3.4,40.3,133.4,74.4,19.8,3.0,0.4,1.389,4.3,35.4,133.0,78.1,19.5,3.1,0.4,1.360,4.0,31.9,127.5,81.9,20.6,2.9,0.5,1.290,3.6,28.3,116.0,82.5,20.2,3.3,0.3,1.337,3.6,27.8,115.6,89.3,23.0,3.6,0.3,1.542,4.8,32.2,128.4,106.7,27.5,4.1,0.2,1.449,3.2,32.5,114.8,104.6,27.6,3.6,0.2,1.445,3.4,30.3,113.8,108.3,27.6,4.2,0.2,1.537,2.9,31.4,112.9,122.7,32.8,4.7,0.2,1.568,3.0,30.3,111.6,127.8,35.0,6.1,0.4,1.642,2.7,28.8,113.6,137.5,39.8,5.6,0.2,1.518,2.9,24.3,97.8,130.5,40.9,5.7,0.2,1.497,2.6,22.9,93.6,130.0,42.5,5.2,0.2,1.549,2.1,21.7,92.7,135.6,49.0,6.2,0.2,1.466,2.0,18.0,84.5,128.4,50.6,6.5,0.3,1.325,1.8,16.2,72.2,115.3,49.9,6.0,0.3,1.240,1.6,13.3,63.3,110.3,49.9,6.1,0.2,1.234,1.2,12.0,58.9,111.9,51.3,7.8,0.2,1.145,1.5,11.7,53.9,103.2,48.2,7.5,0.2
"경상북도",1.613,4.0,71.7,177.7,54.6,12.5,1.7,0.2,1.611,3.5,66.9,177.3,58.8,12.7,2.3,0.4,1.624,3.4,62.4,181.5,61.5,13.4,2.0,0.3,1.596,3.3,59.9,175.4,63.7,14.0,2.0,0.2,1.610,3.2,58.8,175.7,67.1,14.4,2.5,0.2,1.520,3.3,52.1,164.8,66.9,14.6,2.5,0.3,1.533,2.9,49.2,166.2,70.4,14.6,2.5,0.3,1.578,2.6,44.0,169.4,78.8,16.3,2.8,0.3,1.402,2.5,35.4,147.8,74.2,16.1,2.3,0.1,1.232,2.2,30.8,123.5,70.2,14.9,2.5,0.3,1.253,2.5,27.1,127.7,74.2,15.2,2.3,0.1,1.203,2.1,24.1,117.0,78.3,16.1,2.4,0.2,1.173,2.6,21.9,109.3,80.4,16.7,2.3,0.3,1.208,3.0,22.7,106.4,85.1,19.2,2.3,0.2,1.369,3.7,26.7,116.0,99.1,21.5,2.7,0.2,1.313,2.3,25.7,104.4,100.8,23.2,2.9,0.1,1.274,2.3,23.2,99.5,102.4,23.8,3.2,0.1,1.377,2.6,24.2,101.7,117.4,28.2,3.5,0.2,1.434,2.5,23.8,101.6,124.5,33.0,4.2,0.1,1.489,2.1,23.6,101.8,132.0,35.4,4.4,0.2,1.379,2.4,20.8,89.4,120.9,37.5,4.2,0.1,1.408,2.4,18.9,86.3,126.0,41.4,4.7,0.1,1.464,1.7,18.4,87.3,131.3,48.0,4.9,0.1,1.396,1.4,16.6,80.1,125.3,48.0,6.1,0.2,1.256,1.1,14.5,69.6,110.3,47.8,5.9,0.2,1.167,1.2,12.4,60.6,103.5,46.9,6.0,0.2,1.089,1.0,10.0,55.1,97.7,44.5,6.5,0.2,1.003,1.0,9.7,47.6,91.4,41.9,6.8,0.1
"경상남도",1.790,4.1,86.8,193.6,58.4,12.5,2.0,0.1,1.771,3.7,77.9,194.9,61.6,13.4,2.2,0.2,1.760,3.3,74.2,194.9,62.8,13.9,2.2,0.2,1.717,3.3,71.1,189.5,64.4,14.1,2.3,0.2,1.624,3.0,63.3,177.5,65.2,14.4,2.6,0.3,1.568,3.0,58.0,172.2,65.9,14.0,2.2,0.2,1.543,2.7,51.7,169.6,67.7,14.0,2.7,0.3,1.586,2.7,45.2,170.8,78.7,15.7,2.4,0.2,1.417,2.4,37.6,151.4,72.7,14.9,2.4,0.3,1.272,1.9,30.4,132.1,71.1,15.2,2.3,0.1,1.290,2.5,27.3,133.5,76.5,15.1,2.2,0.2,1.266,1.7,24.5,126.7,81.2,16.7,2.0,0.2,1.189,2.2,21.2,112.9,81.5,16.3,2.1,0.1,1.254,2.6,22.4,112.9,88.7,18.3,2.4,0.1,1.434,2.8,27.5,122.9,104.3,22.3,2.7,0.1,1.368,2.4,25.7,111.3,104.8,23.9,2.9,0.1,1.323,2.2,23.0,105.4,106.0,25.1,3.0,0.1,1.413,2.0,22.3,105.3,122.2,29.8,3.6,0.2,1.446,2.1,21.5,104.6,126.8,33.7,4.0,0.2,1.503,2.1,19.8,103.5,136.9,36.3,4.5,0.1,1.367,1.8,17.4,88.0,124.8,36.6,4.6,0.1,1.409,1.5,16.9,84.0,130.2,42.8,4.8,0.2,1.437,1.7,15.3,83.7,133.3,47.0,5.0,0.2,1.358,1.2,14.8,76.1,123.7,48.8,5.3,0.1,1.227,1.1,11.5,66.5,111.4,47.3,5.3,0.1,1.122,1.1,10.7,56.4,104.4,43.8,5.4,0.1,1.046,1.0,8.4,49.3,98.6,42.7,6.2,0.2,0.945,0.7,7.5,42.4,90.9,39.3,5.9,0.2
"제주특별자치도",1.847,4.6,66.0,182.4,89.0,22.2,4.7,0.3,1.867,4.8,63.4,185.1,92.0,23.1,4.0,0.6,1.828,4.1,61.3,177.4,92.9,23.4,4.8,0.8,1.782,3.7,57.2,167.7,97.3,26.9,4.3,0.3,1.761,3.8,54.6,165.6,100.0,23.7,4.4,0.2,1.661,3.5,49.0,152.9,96.7,27.1,4.5,0.5,1.646,3.4,42.2,152.3,101.6,27.1,4.6,0.5,1.783,4.1,43.8,161.9,111.3,30.8,5.4,0.8,1.564,2.6,41.4,136.3,100.8,28.5,4.1,0.3,1.394,3.2,31.1,119.7,92.9,26.9,5.7,0.5,1.438,2.5,27.7,126.0,97.6,30.0,4.9,0.4,1.365,2.8,26.6,112.8,97.6,27.9,4.8,0.5,1.310,2.2,22.0,104.3,98.3,28.1,3.9,0.6,1.372,3.2,22.9,102.1,105.7,31.3,5.1,0.4,1.489,2.2,25.0,109.0,115.2,36.5,5.8,0.5,1.386,1.9,23.5,93.8,114.2,35.1,5.9,0.3,1.378,2.8,22.5,93.5,111.1,38.6,5.9,0.1,1.463,2.6,23.0,96.5,123.8,40.3,7.5,0.1,1.487,2.1,23.5,95.6,126.0,43.3,7.1,0.3,1.598,2.5,23.2,98.9,136.5,50.8,8.0,0.5,1.427,2.6,21.8,80.7,122.5,49.2,7.5,0.2,1.481,2.7,20.5,85.4,125.0,52.5,7.8,0.3,1.477,2.7,19.0,79.2,125.1,59.1,8.6,0.2,1.432,2.3,17.5,75.8,117.2,62.4,8.7,0.3,1.305,1.6,13.6,65.0,112.2,56.0,8.9,0.2,1.220,1.1,12.1,60.2,102.6,55.7,9.0,0.3,1.145,1.1,11.9,50.0,98.3,53.6,10.6,0.3,1.021,1.3,11.3,42.6,88.0,49.3,9.2,0.3
